voltage,time,height
7.5,545.57,0.1076
7.5,546.58,0.1076
7.5,547.59,0.1076
7.5,548.59,0.1076
7.5,549.61,0.1076
7.5,550.63,0.1076
7.5,551.64,0.1085
7.5,552.67,0.1085
7.5,553.67,0.1127
7.5,554.69,0.1127
7.5,555.7,0.1085
7.5,556.72,0.1093
7.5,557.73,0.1093
7.5,559.75,0.1136
7.5,560.77,0.1136
7.5,561.79,0.1136
7.5,562.79,0.1136
7.5,563.82,0.1136
7.5,564.83,0.1136
7.5,565.85,0.1136
7.5,566.86,0.1136
7.5,567.88,0.1136
7.5,568.89,0.1136
7.5,569.91,0.1136
7.5,570.93,0.1093
7.5,571.95,0.1093
7.5,572.97,0.1102
7.5,573.98,0.1102
7.5,575,0.1144
7.5,576.01,0.1144
7.5,577.03,0.1102
7.5,578.05,0.1066
7.5,580.07,0.111
7.5,581.07,0.111
7.5,582.09,0.111
7.5,583.1,0.111
7.5,584.12,0.111
7.5,585.14,0.111
7.5,586.16,0.111
7.5,587.17,0.111
7.5,588.18,0.111
7.5,589.2,0.111
7.5,590.22,0.111
7.5,591.24,0.1153
7.5,592.25,0.111
7.5,593.27,0.111
7.5,594.29,0.1076
7.5,595.32,0.1119
7.5,596.33,0.1119
7.5,597.34,0.1161
7.5,598.37,0.1161
7.5,600.37,0.1119
7.5,601.38,0.1119
7.5,602.39,0.1119
7.5,603.41,0.1119
7.5,604.44,0.1119
7.5,605.45,0.1119
7.5,606.45,0.1119
7.5,607.49,0.1119
7.5,608.49,0.1119
7.5,609.5,0.1119
7.5,610.51,0.1119
7.5,611.52,0.1127
7.5,612.54,0.1127
7.5,613.54,0.117
7.5,614.56,0.117
7.5,615.57,0.1127
7.5,616.59,0.1127
7.5,617.61,0.1136
7.5,618.62,0.1136
7.5,620.64,0.1178
7.5,621.65,0.1178
7.5,622.68,0.1178
7.5,623.69,0.1178
7.5,624.71,0.1178
7.5,625.73,0.1178
7.5,626.74,0.1178
7.5,627.76,0.1178
7.5,628.77,0.1178
7.5,629.79,0.1178
7.5,630.81,0.1178
7.5,631.84,0.1178
7.5,632.84,0.1136
7.5,633.86,0.1136
7.5,634.87,0.1144
7.5,635.89,0.1144
7.5,636.92,0.1144
7.5,637.93,0.1187
7.5,638.95,0.1187
7.5,640.97,0.1144
7.5,641.99,0.1144
7.5,643.01,0.1144
7.5,644.03,0.1144
7.5,645.04,0.1144
7.5,646.06,0.1144
7.5,647.06,0.1144
7.5,648.09,0.1144
7.5,649.11,0.1144
7.5,650.11,0.1144
7.5,651.13,0.1144
7.5,652.13,0.1153
7.5,653.15,0.1153
7.5,654.17,0.1195
7.5,655.19,0.1197
7.5,656.21,0.1195
7.5,657.23,0.1153
7.5,658.24,0.1153
7.5,659.27,0.1161
7.5,661.28,0.1161
7.5,662.3,0.1161
7.5,663.31,0.1161
7.5,664.32,0.1161
7.5,665.36,0.1161
7.5,666.38,0.1161
7.5,667.39,0.1161
7.5,668.39,0.1161
7.5,669.39,0.1161
7.5,670.4,0.1161
7.5,671.4,0.1161
7.5,672.4,0.1204
7.5,673.4,0.1204
7.5,674.4,0.1161
7.5,675.4,0.1161
7.5,676.4,0.1161
7.5,677.42,0.117
7.5,678.43,0.117
7.5,679.44,0.1212
7.5,681.45,0.1214
7.5,682.46,0.1212
7.5,683.5,0.1212
7.5,684.51,0.1212
7.5,685.51,0.1212
7.5,686.51,0.1212
7.5,687.51,0.1214
7.5,688.53,0.1212
7.5,689.53,0.1212
7.5,690.54,0.1212
7.5,691.54,0.1212
7.5,692.54,0.117
7.5,693.54,0.117
7.5,694.54,0.117
7.5,695.54,0.1178
7.5,696.55,0.1178
7.5,697.56,0.1221
7.5,698.57,0.1222
7.5,699.57,0.1221
7.5,701.59,0.1178
7.5,702.6,0.1178
7.5,703.62,0.1178
7.5,704.64,0.1178
7.5,705.64,0.1178
7.5,706.66,0.1178
7.5,707.67,0.1178
7.5,708.69,0.1178
7.5,709.71,0.1178
7.5,710.73,0.1178
7.5,711.74,0.1178
7.5,712.75,0.1178
7.5,713.77,0.1187
7.5,714.79,0.1187
7.5,715.8,0.1187
7.5,716.81,0.1231
7.5,717.83,0.1231
7.5,718.85,0.1231
7.5,719.87,0.1187
7.5,721.88,0.1187
7.5,722.9,0.1187
7.5,723.92,0.1187
7.5,724.93,0.1187
7.5,725.95,0.1187
7.5,726.97,0.1187
7.5,727.99,0.1187
7.5,729,0.1187
7.5,730.02,0.1187
7.5,731.04,0.1187
7.5,732.05,0.1187
7.5,733.07,0.1195
7.5,734.09,0.1195
7.5,735.11,0.1197
7.5,736.13,0.1239
7.5,737.14,0.1239
7.5,738.16,0.1239
7.5,739.18,0.1197
7.5,740.19,0.1195
7.5,742.21,0.1197
7.5,743.23,0.1205
7.5,744.24,0.1204
7.5,745.26,0.1204
7.5,746.28,0.1204
7.5,747.29,0.1205
7.5,748.31,0.1204
7.5,749.33,0.1204
7.5,750.35,0.1205
7.5,751.36,0.1204
7.5,752.37,0.1205
7.5,753.38,0.1204
7.5,754.41,0.1204
7.5,755.43,0.1248
7.5,756.43,0.1248
7.5,757.44,0.1248
7.5,758.44,0.1204
7.5,759.45,0.1204
7.5,760.45,0.1204
7.5,762.45,0.1212
